brand_name,model_name,os_name,os_vendor
SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
SAMSUNG,SM-J600G DS,Samsung OS,Samsung
HUAWEI,Y3 (CRO-U00),Android,Google
GREYMARKET,HANDSET,Proprietary OS,Proprietary OS
LG,K10 (K420N),Android,Google
MICROMAX,Q398,Android,Google
NOKIA,"100, 1000",Symbian OS,Symbian
LENOVO,P70,Android,Google
OPPO,A37 (A37FW),Android,Google
WESTERN,"D2, D3, D4, D5",Proprietary OS,Proprietary OS
SYMPHONY,V52,Android,Google
LENOVO,A536,Android,Google
ITEL,A32F,Android,Google
HUAWEI,GT3 (NMO-L31),Android,Google
TECNO,CAMON I (IN5),Android,Google
WESTERN,"D2, D3, D4, D5",Proprietary OS,Proprietary OS
SYMPHONY,"V60, P6, V40, T90, ZVI",Android,Google
SB TEL,"SYMPHONY B19, E76",Proprietary OS,Proprietary OS
LAVA,IRIS 505,Android,Google
NOKIA,ASHA 230 (RM-986),Asha Software,NOKIA
LAVA,IRIS 705,Android,Google
SAMSUNG,GALAXY TREND II (SM-G318MZDS),Android,Google
HUAWEI,Y7 (TRT-LX2),Android,Google
SB TEL,"SYMPHONY B12, D115",Proprietary OS,Proprietary OS
HTC,0PMG200,Android,Google
SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
SAMSUNG,GALAXY J7 DUOS LTE (SM-J710F DS),Android,Google
ERICSSON,BYTWO BS400,Android,Google
SYMPHONY,H175,Android,Google
MEIZU,M3 NOTE,Android,Google
OPPO,A1603,Android,Google
SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
HUAWEI,Y3II (LUA-U22),Android,Google
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
NOKIA,6 (TA-1000),Android,Google
XIAOMI,REDMI 5 PLUS,Android,Google
WALTON,PRIMO F7,Android,Google
SAMSUNG,GALAXY PLAYER 5.8 (GT-I9152),Android,Google
XIAOMI,REDMI NOTE 3 (2015112),Android,Google
SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS
SYMPHONY,I20,Android,Google
LAVA,IRIS 821,Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
KINGSTAR,"KS-M1,KS-M2,KS-M3,KS-M5,KS-M7",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
SYMPHONY,I10,Android,Google
LENOVO,A328,Android,Google
SB TEL,"SYMPHONY B19, E76",Proprietary OS,Proprietary OS
SYMPHONY,"E10, E60, ZVI",Android,Google
SAMSUNG,GALAXY A7 2017 (SM-A720F),Android,Google
NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
SMOBILE,"P16,Q5,S810,S860,S880",Proprietary OS,Proprietary OS
SAMSUNG,SCH-W120,Samsung OS,Samsung
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
HUAWEI,NEXUS 6P SPECIAL EDITION TD-LTE (H1512),Android,Google
OPPO,F1W SELFIE EXPERT,Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
SYMPHONY,"M40,W68,W82,M100,W140",Proprietary OS,Proprietary OS
NOKIA,C2-00,Symbian OS,Symbian
TECNO,CAMON I (IN5),Android,Google
SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS
WINSTAR,"W7000,W8000,W9000,W902,W903",Proprietary OS,Proprietary OS
WALTON,PRIMO H7,Android,Google
FIVE STAR,"A101,A102,A103,A104,A105",Proprietary OS,Proprietary OS
ASUS,ZENFONE 5 (A501CG),Android,Google
MYCELL,"BEE17,BEE19, BEE18,M103,M104",Proprietary OS,Proprietary OS
G-PHONE,"GP14,GP15,GP16,T66,T77",Proprietary OS,Proprietary OS
ITEL,IT1513,Android,Google
SAMSUNG,GALAXY S V (SM-G900H),Android,Google
WESTERN,"D15,D16,D17,D18",Symbian OS,Symbian
SYMPHONY,"V60, P6, V40, T90, ZVI",Android,Google
SAMSUNG,GALAXY NOTE 4 LTE-A (SM-N910C),Android,Google
SB TEL,"SYMPHONY D29, L18, STUDIO 50",Proprietary OS,Proprietary OS
LAVA,IRIS 505,Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SYMPHONY,I10,Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SYMPHONY,H300,Android,Google
NOKIA,215 DUAL SIM,Symbian OS,Symbian
WALTON,PRIMO GF5,Android,Google
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
NOKIA,5030 XPRESSRADIO,Symbian OS,Symbian
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
XIAOMI,REDMI S2,Android,Google
SYMPHONY,V75,Android,Google
SAMSUNG,CORBY (SGH-S3650),Samsung OS,Samsung
SAMSUNG,SM-G5308W TD-LTE,Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
LAVA,IRIS 870,Android,Google
HUAWEI,ENJOY 5 DUAL SIM TD-LTE (TIT-AL00),Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
ACER,LIQUID Z5 (Z150-US),Android,Google
HUAWEI,Y6II (CAM-L21),Android,Google
SAMSUNG,GALAXY J1 ACE DUOS (SM-J111F DS),Android,Google
SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google
NOKIA,"ASHA 206,2060",Series40,Symbian
WIKO,LENNY3,Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SYMPHONY,I10,Android,Google
WALTON,PRIMO NH2 LITE,Android,Google
SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
LAVA,IRIS 505,Android,Google
HUAWEI,NOVA 2I (RNE-L22),Android,Google
ITEL,S11,Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
LAVA,IRIS 705,Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DD),Android,Google
XIAOMI,REDMI NOTE 4 (2016102),Android,Google
WALTON,PRIMO H6 PLUS,Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
NOKIA,230 DUAL SIM (RM-1172),Series30,Symbian
SAMSUNG,GALAXY J1(SM-J120G-DS),Android,Google
NOKIA,103,Symbian OS,Symbian
APPLE,IPHONE 5S (A1457),iOS,Apple
XIAOMI,REDMI 3S DUAL SIM TD-LTE (2016030),Android,Google
SAMSUNG,GALAXY GRAND PRIME (SM-G530H),Android,Google
XIAOMI,REDMI 4X,Android,Google
SAMSUNG,GALAXY S DUOS 3-VE (SM-G316HU-DD),Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
SB TEL,"H55, M90, D28, M85",Android,Google
WINMAX,"W40,W50, W90,W100",Proprietary OS,Proprietary OS
OPPO,JOY 3 (A11W),Android,Google
SYMPHONY,"E25, D34, E75, S250",Android,Google
HUAWEI,ASCEND Y635-L21,Android,Google
SYMPHONY,"T100, L22, B14",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY ACE (GT-S5830I),Android,Google
NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
APPLE,IPHONE 6 LTE-A  (A1549),iOS,Apple
SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SAMSUNG,GALAXY CORE PRIME VE DUOS (SM-G361H DS),Android,Google
XIAOMI,REDMI 5 (MDG1),Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
GIONEE,PIONEER P5L,Android,Google
LG,F240S OPTIMUS G PRO,Android,Google
MICROMAX,X649,MTK RTOS,Motorola
LAVA,IRIS 41,Android,Google
XIAOMI,REDMI 2A,Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DD),Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
BBK,VIVO Y11 TD,Android,Google
SYMPHONY,"T80, S200, W14, M44",Proprietary OS,Proprietary OS
ITEL,S11 PRO,Android,Google
NOKIA,"1280, 1282",Symbian OS,Symbian
HUAWEI,Y3II (LUA-U22),Android,Google
ITEL,S11 PRO,Android,Google
SYMPHONY,"E25, D34, E75, S250",Android,Google
SAMSUNG,GALAXY ACE NXT (SM-G313HU),Android,Google
WALTON,PRIMO R4 PLUS,Android,Google
NOKIA,105 DS (TA-1034),Symbian OS,Symbian
SYMPHONY,V49,Android,Google
SAMSUNG,GALAXY STAR PRO DUOS (GT-S7262),Android,Google
XIAOMI,REDMI NOTE 5 (M1803E7SG),Android,Google
NOKIA,LUMIA 830 LTE-A (RM-984),Windows phone,Microsoft
HTC,EVO 3D X515,Android,Google
MAXIMUS,M115C,Proprietary OS,Proprietary OS
XIAOMI,REDMI 4A (2016111),Android,Google
SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS
SAMSUNG,GT-E1282T,Samsung OS,Samsung
SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
LAVA,IRIS 505,Android,Google
LAVA,IRIS 820,Android,Google
SAMSUNG,SGH-P700,Samsung OS,Samsung
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
WALTON,PRIMO H6 LITE,Android,Google
SAMSUNG,GALAXY ACE STYLE (SM-G313HZ),Android,Google
SYMPHONY,P7,Android,Google
SYMPHONY,I50,Android,Google
SYMPHONY,"V50, H150, V80, B13, M1",Android,Google
XIAOMI,REDMI 4X DUAL (MAT136),Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google
HUAWEI,Y3II (LUA-L03),Android,Google
SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SYMPHONY,I10,Android,Google
STRAWBERRY,"DAISY, SUGAR, SB211, SAVOR,SCENT",Proprietary OS,Proprietary OS
LAVA,IRIS 605,Android,Google
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
SAMSUNG,GALAXY S III MINI GT-I8190,Android,Google
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
SAMSUNG,GALAXY S8 PLUS DUOS (SM-G955FD),Android,Google
SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google
NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
SYMPHONY,"W67, F15, H50, B12",Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
HUAWEI,Y3II (LUA-U22),Android,Google
HUAWEI,Y5II (CUN-L03),Android,Google
NOKIA,230 DUAL SIM (RM-1172),Series30,Symbian
SYMPHONY,V75,Android,Google
SYMPHONY,V75,Android,Google
NOKIA,110,Series40,Symbian
OPPO,NEO 5,Android,Google
SYMPHONY,V49,Android,Google
OPPO,CPH1723,Android,Google
HUAWEI,Y541,Android,Google
NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
NOKIA,105 SS (TA-1010),Proprietary OS,Proprietary OS
OPPO,CPH1723,Android,Google
SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
SYMPHONY,V120,Android,Google
HUAWEI,ASCEND G6-L11 LTE-A,Android,Google
NOKIA,1202,Symbian OS,Symbian
MICROSOFT,LUMIA 430 DUAL SIM (RM-1099),Windows phone,Microsoft
LAVA,GRAND2C,Android,Google
KINGSTAR,"KS-B20,KS-B21,KS-B23,KS-B24,KS-B25",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google
WINMAX,"WX82 WX83,WX90,WX91",Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
SAMSUNG,GALAXY YOUNG II (SM-G130H),Android,Google
HUAWEI,Y5 (2017),Android,Google
NOKIA,130,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
LAVA,IRIS 60,Android,Google
SYMPHONY,"B9, FT34, B11I, H50",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND II DUOS (SM-G7102),Android,Google
SAMSUNG,GALAXY J7 PRIME (SM-G610F DS),Android,Google
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
HUAWEI,ASCEND Y625-U32,Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
SAMSUNG,GALAXY J1 ACE (SM-J106H DS),Android,Google
ITEL,S11,Android,Google
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
SAMSUNG,GALAXY J2 (SM-J200GUDS),Android,Google
SAMSUNG,GALAXY J1 (SM-J100H),Android,Google
SYMPHONY,"W68Q, W91, ZIV",Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500F DS),Android,Google
ITEL,IT5020,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
NOKIA,105 DS (TA-1034),Symbian OS,Symbian
APPLE,IPHONE 6S (A1700),iOS,Apple
SYMPHONY,"L6, W86, D51I",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
IMAX,"MX 115, MX 116, MX 117, MX 118, MX 119",Proprietary OS,Proprietary OS
SYMPHONY,"L30, W69Q, W17, H100",Proprietary OS,Proprietary OS
SYMPHONY,"B9I, W69, L20",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J2 DUOS (SM-J200H),Android,Google
HUAWEI,Y3II (LUA-L03),Android,Google
WINMAX,"WX14,WX15,WX16,WX17",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
SYMPHONY,"V25, V55, V70, T54",Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200F DS),Android,Google
WALTON,"PRIMO G5, HM, E4, F5, H4",Android,Google
OPPO,F1F SELFIE EXPERT,Android,Google
SAMSUNG,GALAXY J1 MINI (SM-J105H DD),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
SAMSUNG,GALAXY J3 DUOS HSPA (SM-J320FN),Android,Google
HTC,DESIRE 526G PLUS DUAL SIM (0PL4100),Android,Google
ITEL,IT2180,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google
PACIFIC,"NEXUS NX10, NX21, NX12, NX24,NX62",Proprietary OS,Proprietary OS
WALTON,PRIMO EF5 PLUS,Android,Google
APPLE,IPHONE 6 PLUS LTE-A (A1522),iOS,Apple
SAMSUNG,GALAXY S III (GT-I9300),Android,Google
HUAWEI,NOVA 2 LITE (LDN-LX2),Android,Google
APPLE,IPHONE 6S PLUS (A1634 TD-LTE),iOS,Apple
NOKIA,105 DUAL SIM (RM-1133),Symbian OS,Symbian
HUAWEI,Y3II (LUA-L03),Android,Google
SYMPHONY,"T7 ULTRA, B12, P5",Android,Google
XIAOMI,REDMI 3S DUAL SIM TD-LTE (2016030),Android,Google
HUAWEI,Y5II (CUN-L03),Android,Google
SYMPHONY,V75,Android,Google
SAMSUNG,GALAXY J7 (SM-J730F DS),Android,Google
SAMSUNG,GALAXY O7 (SM-G600FY),Android,Google
SYMPHONY,P7,Android,Google
SAMSUNG,GALAXY GRAND PRIME VE DUOS (SM-G531HDS),Android,Google
XIAOMI,REDMI NOTE 4 (2016102),Android,Google
SAMSUNG,"J7 PRIME2 (SM-G611FF,DS)",Android,Google
SYMPHONY,ROAR E79,Android,Google
NOKIA,1680 CLASSIC,Symbian OS,Symbian
SYMPHONY,"BL50, W18, P5, A50",Proprietary OS,Proprietary OS
ERICSSON,BYTWO M25,Symbian OS,Symbian
HTC,ONE E9 PLUS DUAL SIM TD-LTE E9PT (HTC A55),Android,Google
ALCATEL,PIXI 4 (5010U),Android,Google
XIAOMI,REDMI 5A (MCG3B),Android,Google
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
NOKIA,105 (RM-1134),Symbian OS,Symbian
KINGSTAR,"KS-M1,KS-M2,KS-M3,KS-M5,KS-M7",Proprietary OS,Proprietary OS
HUAWEI,Y3 2017 (CRO-U00),Android,Google
ITEL,P11,Android,Google
SYMPHONY,V120,Android,Google
NOKIA,130,Proprietary OS,Proprietary OS
WALTON,PRIMO EF5,Android,Google
SYMPHONY,I10 PLUS,Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
LENOVO,IDEATAB A1000,Android,Google
WINMAX,"BD15,BD25,BD35,BD45",Symbian OS,Symbian
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
SB TEL,"SYMPHONY B12, D115",Proprietary OS,Proprietary OS
SYMPHONY,H300,Android,Google
SAMSUNG,SGH-S8003 JET,Samsung OS,Samsung
HUAWEI,Y3 (CRO-U00),Android,Google
SYMPHONY,"W5, W100, B4I, B4",Android,Google
WINMAX,"BD33,BD77,BD90,BD95",Symbian OS,Symbian
SAMSUNG,GALAXY J1 (SM-J100F),Android,Google
SONY,XPERIA XA1 PLUS (G3412),Android,Google
SYMPHONY,"BL50, W18, P5, A50",Proprietary OS,Proprietary OS
NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
OPPO,CPH1801,Android,Google
SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google
NOKIA,105 (RM-1134),Symbian OS,Symbian
SAMSUNG,GALAXY J5 2016 (SM-J510F DS),Android,Google
SAMSUNG,GALAXY J7 DUOS (SM-J700HDS),Android,Google
AAMRA,WE B1,Android,Google
SYMPHONY,V32,Android,Google
NOKIA,5130 XPRESSMUSIC,Series40,Symbian
SAMSUNG,GALAXY A3 LTE (SM-A300F DS),Android,Google
QUATRO MOBILE,F1453 PLUS,Android,Google
WALTON,PRIMO D8S,Android,Google
WALTON,PRIMO RM3,Android,Google
SYMPHONY,I10 PLUS,Android,Google
SYMPHONY,"E10, E60, ZVI",Android,Google
SAMSUNG,GALAXY J7 DUOS LTE (SM-J710GN DS),Android,Google
HUAWEI,Y6 II DUAL SIM (CAM-L21),Android,Google
SYMPHONY,"V60, P6, V40, T90, ZVI",Android,Google
MYCELL,"S1, S2, S3, S4, F2",Proprietary OS,Proprietary OS
SYMPHONY,"L30, W69Q, W17, H100",Proprietary OS,Proprietary OS
APPLE,IPHONE 5 (A1429),iOS,Apple
NOKIA,"ASHA 206,2060",Series40,Symbian
RANGS,"J103, J55, Z20, J4, Z09",Proprietary OS,Proprietary OS
SAMSUNG,"GALAXY S IV MINI (GT-I9190,GT-I9192)",Android,Google
SYMPHONY,FT10,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J7 DUOS LTE (SM-J710F DS),Android,Google
QPHONE,"Q10,Q20,Q30,Q40,Q50",Proprietary OS,Proprietary OS
WALTON,PRIMO HM4 PLUS,Android,Google
NOKIA,105 SS (TA-1010),Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
NOKIA,105 DUAL SIM (RM-1133),Symbian OS,Symbian
SPORTS,"SP1, SP3, SP7, SP9, SP10",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
XIAOMI,REDMI NOTE 4 (2016102),Android,Google
XIAOMI,REDMI NOTE 5A (MDG6),Android,Google
APPLE,IPHONE 7 PLUS (A1784),iOS,Apple
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
NOKIA,130,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J2 PRO 2018 (SM-J250F DS),Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google
SYMPHONY,"L22, T49, D26, W70Q, V30",Proprietary OS,Proprietary OS
SYMPHONY,V75,Android,Google
WINSTAR,"WS101,WS102,WS103,WS104,WS105",Proprietary OS,Proprietary OS
WALTON,PRIMO RM2 MINI,Android,Google
APPLE,IPHONE 5 (A1429),iOS,Apple
SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google
SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
ITEL,IT5600,Proprietary OS,Proprietary OS
SYMPHONY,E58,Android,Google
SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
XIAOMI,REDMI NOTE 5A (MDG6),Android,Google
SAMSUNG,GALAXY J7 PRIME (SM-G610F DS),Android,Google
SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google
HUAWEI,Y5 (2017),Android,Google
MICROMAX,X088,Proprietary OS,Proprietary OS
SYMPHONY,I50,Android,Google
HTC,DESIRE 816G Dual SIM,Android,Google
OPPO,A37 (A37FW),Android,Google
OPPO,F1s (A1601),Android,Google
HUAWEI,Y5II (CUN-L03),Android,Google
VIVO,Y53 (1606),Android,Google
NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
WALTON,"PRIMO X3MINI, ZXMINI, GF2, S3MINI, RX3",Android,Google
HUAWEI,Y6 PRIME 2018 (ATU-L31),Android,Google
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
MAXIMUS,M100C,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY ACE STYLE LTE (SM-G357FZ),Android,Google
SAMSUNG,SCH-W120,Samsung OS,Samsung
SAMSUNG,GALAXY J5 2017 PRO (SM-J530F),Android,Google
SYMPHONY,D53,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND DUOS (GT-I9082),Android,Google
ITEL,A13 PLUS,Android,Google
SYMPHONY,"B9, FT34, B11I, H50",Proprietary OS,Proprietary OS
